Title,Home,Away,Court,Date,Time
NorthWest Umbrerllas vs The Dream Team,NorthWest Umbrerllas,The Dream Team,43,08/02/2024,4:30
The Dream Team vs High Performance Cabrones,The Dream Team,High Performance Cabrones,43,08/07/2024,6:30
NorthWest Umbrerllas vs Json Tatum Deuce Daddy,NorthWest Umbrerllas,Json Tatum Deuce Daddy,43,08/07/2024,5:30
Not Elixer vs Highly Privileged,Not Elixer,Highly Privileged,43,07/26/2024,5:30
ARM Flex vs Clippies,ARM Flex,Clippies,92,08/07/2024,5:30
Three Pointless vs Microballers,Three Pointless,Microballers,92,07/26/2024,5:30
ARM Flex vs Edgehogs,ARM Flex,Edgehogs,redwest,08/08/2024,6:30
Not Elixer vs Clippies,Not Elixer,Clippies,43,08/08/2024,6:30
High Performance Cabrones vs Ballmer's C-team,High Performance Cabrones,Ballmer's C-team,92,08/01/2024,5:30
Multi-Factor Threat vs Highly Privileged,Multi-Factor Threat,Highly Privileged,92,07/20/2024,5:30
Microballers vs NorthWest Umbrerllas,Microballers,NorthWest Umbrerllas,43,08/03/2024,4:30
Dolphins vs Microballers,Dolphins,Microballers,43,08/07/2024,4:30
Edgehogs vs Puerto Ricans @ MSFT,Edgehogs,Puerto Ricans @ MSFT,redwest,07/26/2024,5:30
Multi-Factor Threat vs Puerto Ricans @ MSFT,Multi-Factor Threat,Puerto Ricans @ MSFT,redwest,08/02/2024,4:30
Three Pointless vs Ballmer's C-team,Three Pointless,Ballmer's C-team,redwest,08/02/2024,5:30
Highly Privileged vs NorthWest Umbrerllas,Highly Privileged,NorthWest Umbrerllas,redwest,08/08/2024,4:30
Three Pointless vs Edgehogs,Three Pointless,Edgehogs,92,08/07/2024,6:30
High Performance Cabrones vs Three Pointless,High Performance Cabrones,Three Pointless,43,08/08/2024,4:30
Not Elixer vs High Performance Cabrones,Not Elixer,High Performance Cabrones,redwest,08/12/2024,5:30
Edgehogs vs Multi-Factor Threat,Edgehogs,Multi-Factor Threat,43,08/13/2024,5:30
Highly Privileged vs Ballmer's C-team,Highly Privileged,Ballmer's C-team,redwest,08/09/2024,6:30
Microballers vs Multi-Factor Threat,Microballers,Multi-Factor Threat,43,07/27/2024,5:30
Edgehogs vs Microballers,Edgehogs,Microballers,92,08/02/2024,4:30
Ballmer's C-team vs Microballers,Ballmer's C-team,Microballers,92,08/12/2024,5:30
Highly Privileged vs Edgehogs,Highly Privileged,Edgehogs,redwest,08/01/2024,4:30
Highly Privileged vs Puerto Ricans @ MSFT,Highly Privileged,Puerto Ricans @ MSFT,redwest,08/12/2024,6:30
