Title,Home,Away,Court,Date,Time
ARM Flex vs Edgehogs,ARM Flex,Edgehogs,redwest,07/18/2024,4:30
Json Tatum Deuce Daddy vs High Performance Cabrones,Json Tatum Deuce Daddy,High Performance Cabrones,92,07/18/2024,5:30
Puerto Ricans @ MSFT vs Highly Privileged,Puerto Ricans @ MSFT,Highly Privileged,92,07/18/2024,4:30
High Performance Cabrones vs ARM Flex,High Performance Cabrones,ARM Flex,redwest,07/19/2024,4:30
Multi-Factor Threat vs Highly Privileged,Multi-Factor Threat,Highly Privileged,92,07/19/2024,5:30
Clippies vs The Dream Team,Clippies,The Dream Team,92,07/19/2024,6:30
Dolphins vs Puerto Ricans @ MSFT,Dolphins,Puerto Ricans @ MSFT,redwest,07/19/2024,6:30
Ballmer's C-team vs Not Elixer,Ballmer's C-team,Not Elixer,redwest,07/19/2024,5:30
Json Tatum Deuce Daddy vs The Dream Team,Json Tatum Deuce Daddy,The Dream Team,redwest,07/24/2024,4:30
Highly Privileged vs Not Elixer,Highly Privileged,Not Elixer,redwest,07/24/2024,5:30
Microballers vs Edgehogs,Microballers,Edgehogs,redwest,07/25/2024,6:30
Ballmer's C-team vs Three Pointless,Ballmer's C-team,Three Pointless,92,07/25/2024,5:30
NorthWest Umbrerllas vs High Performance Cabrones,NorthWest Umbrerllas,High Performance Cabrones,92,07/25/2024,4:30
ARM Flex vs The Dream Team,ARM Flex,The Dream Team,92,07/25/2024,6:30
Clippies vs Highly Privileged,Clippies,Highly Privileged,43,07/25/2024,5:30
Multi-Factor Threat vs Puerto Ricans @ MSFT,Multi-Factor Threat,Puerto Ricans @ MSFT,43,07/25/2024,4:30
Not Elixer vs High Performance Cabrones,Not Elixer,High Performance Cabrones,92,07/26/2024,6:30
ARM Flex vs Dolphins,ARM Flex,Dolphins,redwest,07/26/2024,6:30
Microballers vs Ballmer's C-team,Microballers,Ballmer's C-team,92,07/26/2024,5:30
Edgehogs vs Three Pointless,Edgehogs,Three Pointless,redwest,07/26/2024,4:30
Puerto Ricans @ MSFT vs NorthWest Umbrerllas,Puerto Ricans @ MSFT,NorthWest Umbrerllas,43,07/26/2024,5:30
Multi-Factor Threat vs Clippies,Multi-Factor Threat,Clippies,43,07/26/2024,6:30
Dolphins vs Three Pointless,Dolphins,Three Pointless,92,07/31/2024,6:30
Highly Privileged vs Ballmer's C-team,Highly Privileged,Ballmer's C-team,redwest,07/31/2024,4:30
Edgehogs vs Puerto Ricans @ MSFT,Edgehogs,Puerto Ricans @ MSFT,redwest,08/01/2024,5:30
Ballmer's C-team vs Json Tatum Deuce Daddy,Ballmer's C-team,Json Tatum Deuce Daddy,43,08/01/2024,5:30
NorthWest Umbrerllas vs Clippies,NorthWest Umbrerllas,Clippies,redwest,08/01/2024,6:30
The Dream Team vs Not Elixer,The Dream Team,Not Elixer,43,08/01/2024,6:30
Microballers vs Multi-Factor Threat,Microballers,Multi-Factor Threat,92,08/01/2024,5:30
High Performance Cabrones vs Three Pointless,High Performance Cabrones,Three Pointless,92,08/01/2024,6:30
The Dream Team vs Dolphins,The Dream Team,Dolphins,43,08/02/2024,5:30
Edgehogs vs Multi-Factor Threat,Edgehogs,Multi-Factor Threat,92,08/02/2024,4:30
Clippies vs Not Elixer,Clippies,Not Elixer,92,08/02/2024,5:30
NorthWest Umbrerllas vs Microballers,NorthWest Umbrerllas,Microballers,redwest,08/02/2024,5:30
ARM Flex vs Json Tatum Deuce Daddy,ARM Flex,Json Tatum Deuce Daddy,43,08/02/2024,6:30
Edgehogs vs Clippies,Edgehogs,Clippies,redwest,08/06/2024,4:30
Multi-Factor Threat vs ARM Flex,Multi-Factor Threat,ARM Flex,redwest,08/07/2024,6:30
Highly Privileged vs Dolphins,Highly Privileged,Dolphins,redwest,08/07/2024,5:30
Puerto Ricans @ MSFT vs Three Pointless,Puerto Ricans @ MSFT,Three Pointless,43,08/07/2024,6:30
NorthWest Umbrerllas vs Json Tatum Deuce Daddy,NorthWest Umbrerllas,Json Tatum Deuce Daddy,redwest,08/07/2024,4:30
High Performance Cabrones vs The Dream Team,High Performance Cabrones,The Dream Team,92,08/07/2024,6:30
High Performance Cabrones vs Dolphins,High Performance Cabrones,Dolphins,43,08/08/2024,6:30
The Dream Team vs NorthWest Umbrerllas,The Dream Team,NorthWest Umbrerllas,redwest,08/08/2024,5:30
Three Pointless vs Json Tatum Deuce Daddy,Three Pointless,Json Tatum Deuce Daddy,43,08/08/2024,4:30
ARM Flex vs Not Elixer,ARM Flex,Not Elixer,92,08/08/2024,4:30
Edgehogs vs Highly Privileged,Edgehogs,Highly Privileged,92,08/08/2024,6:30
Puerto Ricans @ MSFT vs Microballers,Puerto Ricans @ MSFT,Microballers,43,08/09/2024,5:30
Three Pointless vs Microballers,Three Pointless,Microballers,92,08/12/2024,5:30
NorthWest Umbrerllas vs Not Elixer,NorthWest Umbrerllas,Not Elixer,redwest,08/12/2024,4:30
Clippies vs Json Tatum Deuce Daddy,Clippies,Json Tatum Deuce Daddy,redwest,08/12/2024,5:30
Ballmer's C-team vs Dolphins,Ballmer's C-team,Dolphins,43,08/12/2024,6:30
Highly Privileged vs NorthWest Umbrerllas,Highly Privileged,NorthWest Umbrerllas,redwest,08/13/2024,5:30
ARM Flex vs Clippies,ARM Flex,Clippies,redwest,08/13/2024,4:30
High Performance Cabrones vs Ballmer's C-team,High Performance Cabrones,Ballmer's C-team,redwest,08/13/2024,6:30
